Person Title,Person Buyer Segment,sub_category,broad_category
Data Science Content Developer,Data End User,Data Science Content Developer,Data End User
Lab Engineer,Technology End User,Lab Engineer,Technology End User
Onfinality,Junk/Invalid,,
Delivery and Ops Head,Operations Decision Maker,Delivery Head It,Information Decision Maker
CEO and Founder,Other Decision Maker,Founder,Technology End User
Data Engineer,Technology End User,Data Engineer,Technology End User
Manager,Other Decision Maker,Manager,Technology End User
Unknown,Unknown,Unknown,Security End User
Lecturer,Industry LOB - Edu End User,Ai Lecturer,Data End User
Programmer Analyst Trainee,Technology End User,Programmer Analyst Trainee,Technology End User
Computer Engineering Fresh Graduate | AI & Machine Learning Enthusiast,Other End User,Computer Engineering Fresh Graduate | Ai & Machine Learning Enthusiast,Data End User
Development Engineer (AI),Technology End User,Development Engineer (Ai),Technology End User
Co,Other End User,Alset Tech Co,Technology End User
Founder,Other Decision Maker,Founder,Technology End User
consultant,Other End User,"""Développeur, Consultant Java/J2Ee""",Technology End User
Data Analyst / Senior Analyst,Data End User,Analista De Dados / Senior Data Analyst,Data End User
Key Account Manager,Sales End User,It Key Account Manager,Information Decision Maker
Enginner,Technology End User,Enginner,Technology End User
Data Analyst,Data End User,Data Analyst,Data End User
??,Other End User,,
Application Developer,Technology End User,Application Developer,Technology End User
government,Junk/Invalid,"""Team Lead, Government Product""",Product End User
SYSADMIN,Information End User,Sysadmin,Product End User
System Engineer,Technology End User,System Engineer,Technology End User
PRODUCT MANAGER,Product End User,Product Manager,Product End User
Research,Other End User,Research,Technology End User
Solution Architect,Technology End User,Solution Architect,Technology End User
Sr Data engineer,Data End User,Sr Data Engineer,Data End User
Threat Monitoring Engineer,Security End User,Threat Monitoring Engineer,Security End User
Jr Software Developer,Technology End User,Jr Software Developer,Technology End User
Joint Professor Of Chemical Engineering,Technology End User,Joint Professor Of Chemical Engineering,Technology End User
Product Manager - II,Product End User,Product Manager - Ii,Product End User
Unit Leader,Information End User,Unit Leader,Information End User
ZARAH MOBILE INC,Junk/Invalid,,
Vounteer,Junk/Invalid,,
"Chair, Department Of Biomedical Engineering And Environmental Sciences",Industry LOB - Edu DM,Environmental Engineering,Technology End User
Assistant Professor In Ai Law,Technology End User,Assistant Professor In Ai Law,Technology End User
Machine Learning Engineer Level II,Technology End User,Machine Learning Engineer Level Ii,Technology End User
Senior Faculty,Industry LOB - Edu End User,Senior Research Faculty,Technology End User
DECLINE,Other End User,Decline //Product Owner,Product End User
Summer Research Intern,Other End User,Intern Research,Technology End User
Technical Leader,Technology End User,Technical Leader,Technology End User
DEVELOPER,Technology End User,Developer,Technology End User
CTO,Technology Executive,Addetto Cto,Technology End User
Web Developer,Technology End User,Web Developer,Technology End User
DEVELOPER,Technology End User,Developer,Technology End User
Ai Engineer,Technology End User,Ai Engineer,Technology End User
Frontend Engineer,Technology End User,Frontend Engineer,Technology End User
Senior Software Engineer,Technology End User,Senior Software Engineer,Technology End User
Founder,Other Executive,Founder,Technology End User
Singapay,Junk/Invalid,,
MACHINE LEARNING ENGINEER,Technology End User,Machine Learning Engineer,Technology End User
Senior Software Engineer,Technology End User,Senior Software Engineer,Technology End User
Module Lead,Other End User,Android Module Lead,Technology End User
Technical Lead Product Development,Product End User,Technical Lead Product Development,Product End User
Senior Support Specialist,Information End User,A Senior Product Support Specialist,Product End User
IT Excute,Junk/Invalid,It Excute,Information End User
Delivery and Ops Head,Operations Decision Maker,Delivery Head It,Information Decision Maker
Machine Learning Engineer,Technology End User,Machine Learning Engineer,Technology End User
DATA SCIENTIST,Data End User,Data Scientist,Data End User
DATA ANALYST,Data End User,Data Analyst,Data End User
DATA ENGINEER,Technology End User,Data Engineer,Technology End User
Business Head - It,Information Decision Maker,Business Head - It,Information Decision Maker
Engineer,Technology End User,Engineer,Technology End User
Operations Manager,Operations End User,Operations Manager,Operations End User
Software Developer,Technology End User,Software Developer,Technology End User
N/a,Other End User,,
Owner,Other Decision Maker,Owner Operator,Operations End User
Senior Specialist - Performance Marketing,Marketing End User,It Marketing Specialist,Information End User
ARCHITECT,Technology End User,Architect,Technology End User
harcourt buttler technical university,Junk/Invalid,Harcourt Buttler Technical University,Technology End User
"Sr. Analyst, BackEnd Eng",Technology End User,"Sr. Analyst, Backend Eng",Technology End User
Python Trainer,Technology End User,Python Trainer,Technology End User
Digital Marketing Executive,Marketing Decision Maker,It Marketing Digital,Information End User
Software Engineer,Technology End User,Software Engineer,Technology End User
Executive Assistan To Chief Operations Officer,Operations End User,Executive Assistan To Chief Operations Officer,Operations End User
Cloud Engineer,Technology End User,Cloud Engineer,Technology End User
Manager Fleet Command Center,Operations Decision Maker,Cio Command Center Manager,Information Decision Maker
Business Head - It,Information Decision Maker,Business Head - It,Information Decision Maker
Manager,Other Decision Maker,Manager,Technology End User
Software Engineer,Technology End User,Software Engineer,Technology End User
Senior Data Engineer,Technology End User,Senior Data Engineer,Technology End User
Software Developer,Technology End User,Software Developer,Technology End User
Software Developer,Technology End User,Software Developer,Technology End User
Senior Software Engineer ( Full Stack),Technology End User,Senior Software Engineer ( Full Stack),Technology End User
Senior Support Specialist,Information End User,A Senior Product Support Specialist,Product End User
Senior Specialist - Performance Marketing,Marketing End User,It Marketing Specialist,Information End User
Software Engineer,Technology End User,Software Engineer,Technology End User
CEO,Chief Executive,Assistante Ceo,Operations End User
CEO,Chief Executive,Assistante Ceo,Operations End User
Ai Lecturer,Data End User,Ai Lecturer,Data End User
Developer,Technology End User,Developer,Technology End User
BNI,Junk/Invalid,Bni Informatics Dept,Information End User
DECLINE,Other End User,Decline //Product Owner,Product End User
Founder,Other Decision Maker,Founder,Technology End User
Mobile App Developer (Freelance),Technology End User,Developer (Freelance),Technology End User
Executive IT Project Coordinator,Information End User,Executive It Project Coordinator,Information End User
Product Analyst,Product End User,Product Analyst,Product End User
Quality Assurance Engineer,Other End User,Quality Assurance Engineer,Technology End User
IT Admin,Information Decision Maker,It Admin,Information Decision Maker
Junior Software Engineer,Technology End User,Junior Software Engineer,Technology End User
Slamet,Junk/Invalid,,
Full Stack developer,Technology End User,Full Stack Developer,Technology End User
MACHINE LEARNING ENGINEER,Technology End User,Machine Learning Engineer,Technology End User
DevOps Engineer,Technology End User,Devops Engineer,Technology End User
DATA ENGINEER,Technology End User,Data Engineer,Technology End User
System Engineer,Technology End User,System Engineer,Technology End User
